offer,text,price,on_stock,x,y,z,link
buy,Potion of Invis | 1,2.0,0.0,-1928,67,529,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1928,67,529;6"
buy,1x Sticky Piston | N/A,5.5,1.0,-1925,66,538,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1925,66,538;6"
buy,1x Silk touch | N/A,22.0,1.0,-1914,68,543,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,543;6"
buy,1x Feather  | Falling,25.0,1.0,-1914,67,543,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,543;6"
buy,1x Riptide 3 | N/A,25.0,0.0,-1914,66,543,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,66,543;6"
buy,Amethyst Block | 64,5.0,1.0,-1924,66,530,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1924,66,530;6"
buy,1x Piston | N/A,2.5,1.0,-1924,66,538,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1924,66,538;6"
buy,Amethyst Shards | 32,10.0,0.0,-1923,67,530,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1923,67,530;6"
buy,Dripstone Block | 64,5.0,1.0,-1924,66,529,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1924,66,529;6"
buy,1x Vanishing | N/A,20.0,0.0,-1914,68,542,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,542;6"
buy,1x Smite 5 | N/A,30.0,1.0,-1914,67,542,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,542;6"
buy,1x Impalling 5 | N/A,35.0,0.0,-1914,66,542,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,66,542;6"
buy,Pointed Dripstone | 32,5.0,0.0,-1923,67,529,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1923,67,529;6"
buy,Silk Sexy Pic | N/A,150.0,1.0,-1921,67,538,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,67,538;6"
buy,16x Exp Bottles | N/A,35.0,0.0,-1921,66,538,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1921,66,538;6"
buy,Moss Block | 64,5.0,0.0,-1924,66,528,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1924,66,528;6"
buy,1x Unbreaking 3 | N/A,22.0,1.0,-1914,68,541,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,68,541;6"
buy,1x Eff 5 | N/A,30.0,0.0,-1914,67,541,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,67,541;6"
buy,1x Loyalty 3 | N/A,25.0,1.0,-1914,66,541,"https://map.piratemc.com/survival#PirateCraft_1;flat;-1914,66,541;6"
